PX,PX_TYPE
43112,CH
43113,CH
43116,CH
43117,CH
43118,CH
43121,CH
43122,CH
43123,CH
43124,CH
43130,CH
43135,CH
43279,CH
43280,CH
43281,CH
43282,CH
43284,CH
43285,CH
43289,CH
43300,CH
43305,CH
43310,CH
43312,CH
43313,CH
43314,CH
43320,CH
43324,CH
43325,CH
43326,CH
43327,CH
43328,CH
43330,CH
43331,CH
43332,CH
43333,CH
43334,CH
43335,CH
43336,CH
43337,CH
43340,CH
43341,CH
43350,CH
43351,CH
43352,CH
43360,CH
43361,CH
43400,CH
43401,CH
43405,CH
43410,CH
43415,CH
43420,CH
43425,CH
43496,CH
43500,CH
43501,CH
43502,CH
43520,CH
43610,CH
43611,CH
43620,CH
43621,CH
43622,CH
43631,CH
43632,CH
43633,CH
43634,CH
43640,CH
43641,CH
43644,CH
43645,CH
43647,CH
43648,CH
43651,CH
43652,CH
43653,CH
43659,CH
43770,CH
43771,CH
43772,CH
43773,CH
43774,CH
43775,CH
43800,CH
43810,CH
43820,CH
43825,CH
43830,CH
43831,CH
43832,CH
43840,CH
43842,CH
43843,CH
43845,CH
43846,CH
43847,CH
43848,CH
43850,CH
43855,CH
43860,CH
43865,CH
43880,CH
43881,CH
43882,CH
43886,CH
43887,CH
43888,CH
44005,CH
44010,CH
44020,CH
44021,CH
44025,CH
44050,CH
44055,CH
44110,CH
44111,CH
44120,CH
44125,CH
